ad_id,clicks,impressions,cost,leads,conversions,conversion_rate,sale_amount,ad_date,device,keyword
A1236,192,5852,181.05,16,8,0.042,1600.00,2024-11-21,Desktop,Analytics For Data
A1237,80,3823,181.57,13,4,0.050,1564.00,2024-11-13,Desktop,Data Analytics Online
A1238,191,4612,238.23,20,10,0.052,1531.00,2024-01-11,Mobile,Learn Data Analytics
A1239,147,5881,196.34,23,7,0.048,1614.00,2024-11-18,Desktop,Data Analytics Training
A1240,100,5204,197.53,26,4,0.040,1675.00,2024-11-24,Tablet,Data Analytics Course
A1242,123,5231,202.93,30,10,0.081,1551.00,2024-11-23,Desktop,Data Analytics Online
A1243,165,5980,248.41,17,3,0.018,1803.00,2024-06-11,Tablet,Data Analytics Online
A1244,167,3202,214.87,26,6,0.036,1571.00,2024-12-11,Desktop,Data Analytics Online
A1245,111,5847,196.71,21,9,0.081,1445.00,2024-11-30,Mobile,Data Analytics Online
A1247,179,3185,236.74,29,5,0.028,1156.00,2024-11-11,Desktop,Data Analytics Course
A1248,166,5592,183.03,22,4,0.024,1636.00,2024-11-22,Tablet,Data Analytics Online
A1249,90,5062,191.40,23,6,0.067,1775.00,2024-11-19,Tablet,Data Analytics Course
A1250,106,5830,241.90,29,10,0.094,1897.00,2024-11-02,Desktop,Data Analytics Training
A1252,158,4780,247.20,23,9,0.057,1005.00,2024-11-24,Desktop,Learn Data Analytics
A1253,187,3800,241.00,16,8,0.043,1842.00,2024-11-09,Mobile,Analytics For Data
A1254,95,4096,242.69,26,9,0.095,1550.00,2024-11-22,Tablet,Data Analytics Online
A1255,118,3562,231.50,12,3,0.025,1856.00,2024-11-19,Desktop,Data Analytics Course
A1257,146,5411,201.76,28,7,0.048,1393.00,2024-11-14,Desktop,Data Analytics Online
A1258,101,4026,219.68,22,9,0.089,1149.00,2024-11-15,Desktop,Analytics For Data
A1259,185,3716,218.23,27,7,0.038,1015.00,2024-11-03,Desktop,Data Analytics Online
A1260,147,5162,186.79,30,7,0.048,1733.00,2024-11-25,Desktop,Analytics For Data
A1261,188,3859,211.83,30,9,0.048,1719.00,2024-11-28,Mobile,Data Analytics Online
A1262,122,3350,225.89,28,3,0.025,1509.00,2024-11-24,Desktop,Data Analytics Online
A1264,170,3124,234.92,17,3,0.018,1232.00,2024-11-11,Desktop,Data Analytics Training
A1265,114,5017,242.62,11,6,0.053,1303.00,2024-11-17,Mobile,Data Analytics Online
A1266,186,3424,201.81,27,3,0.016,1337.00,2024-11-26,Desktop,Data Analytics Training
A1267,120,4060,210.95,24,9,0.075,1376.00,2024-11-05,Tablet,Data Analytics Online
A1268,130,5688,212.05,21,5,0.038,1454.00,2024-11-17,Desktop,Learn Data Analytics
A1269,178,5029,189.79,25,8,0.045,1510.00,2024-09-11,Desktop,Data Analytics Training
A1270,196,5476,204.63,19,4,0.020,1288.00,2024-11-26,Desktop,Data Analytics Training
A1271,110,5000,197.89,18,3,0.027,1110.00,2024-11-12,Desktop,Data Analytics Online
A1272,95,4141,207.14,22,3,0.032,1929.00,2024-11-11,Tablet,Learn Data Analytics
A1273,183,4791,232.97,27,5,0.027,1476.00,2024-11-21,Desktop,Data Analytics Online
A1274,100,4168,193.60,30,3,0.030,1692.00,2024-11-25,Desktop,Data Analytics Online
A1275,187,3741,226.11,27,10,0.053,1342.00,2024-11-14,Tablet,Learn Data Analytics
A1276,90,3577,233.54,24,5,0.056,1175.00,2024-11-14,Tablet,Analytics For Data
A1278,129,3611,227.82,11,7,0.054,1250.00,2024-11-22,Tablet,Data Analytics Training
A1279,120,3947,193.49,15,6,0.050,1305.00,2024-11-12,Mobile,Data Analytics Training
A1280,82,4239,191.75,23,8,0.098,1062.00,2024-11-22,Mobile,Learn Data Analytics
A1281,145,5973,242.16,12,7,0.048,1508.00,2024-11-14,Tablet,Data Analytics Online
A1282,190,4525,188.85,10,5,0.026,1875.00,2024-11-01,Tablet,Data Analytics Training
A1283,137,4395,241.58,24,4,0.029,1512.00,2024-11-06,Desktop,Data Analytics Online
A1284,157,3047,222.66,19,3,0.019,1964.00,2024-01-11,Mobile,Data Analytics Online
A1285,105,5348,226.10,27,5,0.048,1003.00,2024-12-11,Tablet,Learn Data Analytics
A1286,149,3101,231.44,15,9,0.060,1126.00,2024-11-06,Tablet,Data Analytics Training
A1287,159,3693,187.09,24,6,0.038,1256.00,2024-11-24,Desktop,Learn Data Analytics
A1290,98,4653,205.84,29,5,0.051,1866.00,2024-02-11,Mobile,Data Analytics Online
A1291,86,3513,211.16,22,7,0.081,1917.00,2024-10-11,Desktop,Data Analytics Course
A1292,128,5772,235.54,20,10,0.078,1215.00,2024-04-11,Desktop,Data Analytics Training
A1293,105,5840,236.56,22,8,0.076,1811.00,2024-11-24,Tablet,Data Analytics Course
A1295,89,5158,211.76,20,5,0.056,1119.00,2024-11-21,Desktop,Data Analytics Online
A1296,119,3489,194.36,14,3,0.025,1633.00,2024-11-10,Mobile,Data Analytics Course
A1297,173,3977,229.82,30,5,0.029,1584.00,2024-11-22,Desktop,Learn Data Analytics
A1299,112,5194,245.97,10,5,0.045,1016.00,2024-11-21,Tablet,Data Analytics Training
A1300,134,3007,217.53,10,5,0.037,1371.00,2024-11-30,Mobile,Data Analytics Training
A1301,113,5721,216.70,11,6,0.053,1743.00,2024-11-17,Desktop,Data Analytics Training
A1302,157,3546,189.11,16,5,0.032,1333.00,2024-11-28,Mobile,Data Analytics Online
A1303,105,3670,245.85,24,9,0.086,1653.00,2024-11-24,Tablet,Data Analytics Course
A1306,136,5782,189.65,23,6,0.044,1951.00,2024-11-11,Tablet,Data Analytics Training
A1307,192,4339,245.57,24,8,0.042,1284.00,2024-11-18,Mobile,Learn Data Analytics
A1309,164,5662,186.41,11,9,0.055,1020.00,2024-11-17,Tablet,Data Analytics Course
A1310,192,5130,184.63,19,4,0.021,1087.00,2024-11-07,Desktop,Data Analytics Course
A1311,139,4608,224.99,12,8,0.058,1095.00,2024-11-12,Desktop,Data Analytics Training
A1312,199,5290,218.55,20,7,0.035,1234.00,2024-11-30,Tablet,Learn Data Analytics
A1313,82,4961,220.29,27,7,0.085,1149.00,2024-02-11,Tablet,Data Analytics Course
A1314,175,4347,242.06,17,3,0.017,1617.00,2024-11-22,Desktop,Data Analytics Training
A1315,181,5664,204.74,22,5,0.028,1719.00,2024-11-22,Desktop,Data Analytics Course
A1316,146,3757,192.59,25,9,0.062,1169.00,2024-11-09,Desktop,Data Analytics Online
A1317,192,4225,242.00,24,6,0.031,1032.00,2024-11-01,Mobile,Data Analytics Online
A1318,149,3410,181.12,20,4,0.027,1806.00,2024-11-17,Desktop,Learn Data Analytics
A1319,93,3934,226.84,20,6,0.065,1964.00,2024-11-18,Mobile,Data Analytics Online
A1320,182,3384,187.67,18,8,0.044,1769.00,2024-11-01,Desktop,Analytics For Data
A1321,99,3842,246.30,23,8,0.081,1452.00,2024-10-11,Tablet,Data Analytics Online
A1323,193,5786,201.51,16,10,0.052,1617.00,2024-11-05,Tablet,Data Analytics Training
A1324,107,4423,239.47,25,9,0.084,1370.00,2024-11-23,Desktop,Analytics For Data
A1325,131,4228,230.18,16,9,0.069,1393.00,2024-11-07,Desktop,Data Analytics Training
A1326,139,5120,199.30,24,5,0.036,1835.00,2024-11-23,Mobile,Data Analytics Course
A1327,141,3600,227.54,20,6,0.043,1367.00,2024-11-07,Desktop,Learn Data Analytics
A1329,96,5771,213.98,30,3,0.031,1130.00,2024-11-30,Mobile,Analytics For Data
A1331,187,3115,184.61,12,3,0.016,1324.00,2024-11-30,Mobile,Learn Data Analytics
A1332,153,5886,218.33,29,3,0.020,1424.00,2024-11-20,Mobile,Analytics For Data
A1334,151,4357,238.69,28,9,0.060,1447.00,2024-11-13,Tablet,Analytics For Data
A1335,116,4519,184.29,23,7,0.060,1070.00,2024-11-12,Desktop,Data Analytics Training
A1336,145,5612,207.34,22,4,0.028,1689.00,2024-12-11,Desktop,Learn Data Analytics
A1337,90,3251,198.69,12,7,0.078,1044.00,2024-11-30,Mobile,Learn Data Analytics
A1338,133,3360,203.78,13,9,0.068,1654.00,2024-11-14,Mobile,Data Analytics Online
A1339,135,5891,245.69,21,6,0.044,1947.00,2024-11-05,Mobile,Learn Data Analytics
A1341,100,4928,186.68,22,10,0.100,1071.00,2024-11-23,Mobile,Analytics For Data
A1342,138,4049,182.66,20,7,0.051,1292.00,2024-11-20,Mobile,Data Analytics Online
A1343,109,4114,243.33,18,6,0.055,1456.00,2024-11-25,Tablet,Learn Data Analytics
A1344,124,3947,198.11,11,4,0.032,1308.00,2024-11-26,Mobile,Data Analytics Course
A1346,197,5365,208.86,14,4,0.020,1106.00,2024-11-01,Tablet,Data Analytics Training
A1347,114,5213,224.65,26,4,0.035,1218.00,2024-11-29,Tablet,Data Analytics Online
A1348,117,3951,212.02,16,5,0.043,1949.00,2024-11-10,Desktop,Data Analytics Training
A1349,198,3405,224.90,13,10,0.051,1631.00,2024-11-14,Tablet,Data Analytics Online
A1350,160,5367,208.47,20,8,0.050,1853.00,2024-11-15,Tablet,Data Analytics Course
A1351,137,3602,194.55,23,5,0.036,1580.00,2024-11-02,Tablet,Data Analytics Course
A1352,163,3917,209.01,10,3,0.018,1823.00,2024-11-17,Tablet,Data Analytics Training
A1354,194,5019,227.67,28,7,0.036,1019.00,2024-11-22,Mobile,Learn Data Analytics
A1355,177,3569,190.31,13,8,0.045,1403.00,2024-11-25,Mobile,Data Analytics Online
A1356,113,3420,223.48,22,10,0.088,1138.00,2024-11-23,Mobile,Data Analytics Online
A1357,133,3064,221.80,22,5,0.038,1538.00,2024-11-11,Mobile,Learn Data Analytics
A1358,118,3730,207.50,25,8,0.068,1011.00,2024-11-12,Mobile,Data Analytics Training
A1359,109,5852,235.44,20,5,0.046,1946.00,2024-11-14,Desktop,Analytics For Data
